"","Year","Country","iso3","Cluster","fitGHG","lwrGHG","uprGHG","fitBio","lwrBio","uprBio","fitWat","lwrWat","uprWat","fitEF","lwrEF","uprEF"
"53",2010,"Guinea","GIN","10",3.62130608141928,3.56257994835394,3.68100026537887,1.76756172908864e-11,1.70916353419393e-11,1.82795525626066e-11,2.88370819663013,2.52366128190867,3.29512245677538,0.335527550191025,0.323509518113573,0.347992039287291
"54",2010,"Haiti","HTI","10",2.62931077609834,2.57163671962511,2.68827828773368,5.21183527054826e-11,5.14871337585486e-11,5.27573102334928e-11,6.18937522462286,5.6867910053421,6.73637656723956,0.557815972162024,0.539540552303576,0.576710420506054
"55",2010,"Honduras","HND","7",3.31127005732684,3.26161782091316,3.36167815930058,4.69755583682445e-11,4.57805774266684e-11,4.82017311280763e-11,11.2315056145469,10.0928466582147,12.4986262688264,0.709740058367568,0.680134478254454,0.740634340056411
"56",2010,"Hungary","HUN","2",8.85937302862193,8.64906344351702,9.07479647627114,3.61771632721997e-12,3.5330211720969e-12,3.70444183227639e-12,9.04656547337654,8.44235544031248,9.69401814963851,0.390036170446826,0.376327094707646,0.404244648860609
"57",2010,"Iceland","ISL","1",18.1907627192013,17.2085804340175,19.2290032042481,9.58529340294891e-12,8.8632249488509e-12,1.03661872682728e-11,29.1808078318727,26.2566820268851,32.4305845212577,1.01355896085793,0.931955198829242,1.10230810282077
"58",2010,"India","IND","8",2.72031143508251,2.62953461258102,2.81422205603794,5.26867512392153e-12,5.22176076733937e-12,5.31601097757175e-12,67.5295244422495,66.5995288109244,68.4725065299314,0.582911182540538,0.576026415761813,0.589878237235755
"59",2010,"Indonesia","IDN","7",4.15855762690964,4.04899366041549,4.27108634557697,2.58955982835764e-11,2.56709776216675e-11,2.61221843728445e-11,9.48160654217763,8.2037890669014,10.9584561338096,0.593400637192951,0.562118476003033,0.626423665567436
"60",2010,"Iran","IRN","6",9.37299689638018,9.03809922470591,9.72030386426867,8.19972185191219e-12,7.86800174238173e-12,8.54542749864382e-12,268.790853800641,255.048381719264,283.273795347593,1.61694470172891,1.5804283723936,1.65430475314071
"61",2010,"Iraq","IRQ","6",5.40286135533009,4.9937748459024,5.84545994276688,4.3290953489541e-12,4.07024318311973e-12,4.60440953947412e-12,144.611724501427,136.224619499414,153.515208485252,0.884584449768581,0.840961296151661,0.930470465588784
"62",2010,"Ireland","IRL","2",16.9339749437382,16.3345749895626,17.5553699792242,7.69488992441585e-12,7.36839998262736e-12,8.03584646442653e-12,34.2066412241701,29.9261631053933,39.0993760114946,0.969813874673837,0.920919895211651,1.02130375986037
"63",2010,"Israel","ISR","2",14.7779188001059,14.4968936669323,15.0643916607231,8.68475753479923e-12,8.47976394844522e-12,8.89470672731183e-12,56.3078015840184,51.8247889332262,61.1786093969492,1.13931633096099,1.09905764963356,1.1810496950976
"64",2010,"Italy","ITA","2",12.5344594914066,11.9802315252347,13.1143270821417,1.62335487818392e-11,1.54781742479329e-11,1.70257875270752e-11,40.5075829518352,37.6301260851519,43.6050698551143,1.19037266265346,1.12269437130375,1.2621307385261
"65",2010,"Jamaica","JAM","5",5.16339146676756,4.96032221699021,5.37477411200618,5.11271197928298e-11,5.024322789732e-11,5.20265613437986e-11,12.4886014784349,11.7790732511946,13.2408690871626,0.877063834300394,0.857117063047501,0.897474805486491
"66",2010,"Japan","JPN","2",14.7765150429562,14.525279008952,15.0320965731635,1.2011140352441e-11,1.14442327797337e-11,1.26061305587488e-11,24.6134279828743,22.759311446731,26.6185925038234,0.963327435638286,0.916998337711253,1.01199719791166
"67",2010,"Jordan","JOR","4",5.47256362127849,5.25537571932427,5.69872720590023,4.19150445262164e-12,3.91256281044205e-12,4.4903329166905e-12,63.0526767860036,55.2215301708943,71.994384030591,0.666426974243826,0.613685240592233,0.723701472062749
"68",2010,"Kazakhstan","KAZ","4",13.3567544625672,12.568189551185,14.1947962390882,3.57509861879137e-11,3.47135151935168e-11,3.68194637242357e-11,82.4385985859949,76.9015555932218,88.3743181057551,2.00464587071986,1.93241682396121,2.07957466379151
"69",2010,"Kenya","KEN","9",2.89939898689118,2.81114407016271,2.99042463686289,9.57974804836064e-12,9.20815588275361e-12,9.96633569615744e-12,6.75178012210503,6.32933533657463,7.20242053756052,0.337306409898743,0.33097174473854,0.343762317984755
"70",2010,"Kuwait","KWT","3",35.7650501571326,34.1322718723289,37.4759353120943,2.46058604578696e-11,2.26835217327323e-11,2.66911097847074e-11,427.876232284292,334.880433016061,546.696826998609,4.25536019429553,3.75618052536307,4.82087861883172
"71",2010,"Kyrgyzstan","KGZ","6",2.69864136602833,2.47383866482748,2.94387234138696,1.33868496694935e-11,1.31114667080808e-11,1.36680165586028e-11,69.0961134416587,64.9279184602128,73.5318951533646,0.799386605793833,0.781173635582105,0.818024209235388
