"","Country","iso3","SPI_baseline","BHN_FWB","BHN_FWB_AllExt","Few_indicators_closest_DLS_coverage","Few indicators_SPI_preferred","No_non_DLS","Only_%_of_pop","Few_indicators_closest_DLS_coverage_90","Few indicators_SPI_preferred_90","Few_indicators_closeDLS_subPrimSchool","No_non_DLS_90","Few_Indicators_subWatSani","Only_OPP","africa","lat_abst","asia","baseco","f_french","f_germany","f_netherland","f_portugal","f_spain","f_brit","temp1","temp2","temp3","temp4","temp5","humid1","humid2","humid3","humid4","malfal94","lpd1500s","america","prienr1900","cath1900","prot1900","musl1900","Yrsmis60","ruleoflaw","protmiss","dummy_dennis","neoeuropes","logpgdp05","tyr05_n","lcapped","prienr1870","prienr1940"
"46","Peru","PER",8,4,2,6,6,9,2,7,7,9,16,2,6,0,0.11111111,0,1,0,0,0,0,1,0,22,26,34,9,16,92,95,64,80,5e-04,0.4462871,1,12.5,94.6,0,0,72,-0.67,0.21473889,0,0,8.7620125,8.156242,4.26268,9.5,30.9
"47","Senegal","SEN",7,1,11,7,1,6,1,3,6,1,13,6,7,1,0.15555556,0,1,1,0,0,0,0,0,28,35,43,12,21,70,88,45,74,0.95,1.442202,0,0.6,1.8,0,70,97,-0.37,0.015796341,0,0,7.423454,4.0343046,5.103883,NA,NA
"48","Sierra Leone","SLE",4,1,4,3,3,1,1,6,1,7,4,3,7,1,0.09222222,0,1,0,0,0,0,0,1,25,31,33,13,20,73,83,70,79,0.95,1.442202,0,3.1,0.3,4.2,10,165,-0.92,0.70047826,0,0,6.4723277,2.5744927,5.521461,NA,NA
"49","Singapore","SGP",5,2,7,5,5,4,3,5,5,4,6,4,3,0,0.013555556,1,1,0,0,0,0,0,1,28,33,36,19,21,76,82,70,78,0,-2.437894,0,0.6,2.2,1.8,2.2,141,1.62,2.1131124,0,0,10.7227,8.142024,2.8735647,NA,NA
"50","South Africa","ZAF",8,4,13,6,6,8,2,7,7,9,15,2,2,1,0.32222223,0,1,0,0,0,0,0,1,19,29,39,-2,7,71,91,54,67,0.104499996,-0.7105286,0,14.8,1.4,38.8,0.6,223,0.09,2.5243268,0,0,9.059149,7.743558,2.74084,NA,NA
"51","Sri Lanka","LKA",3,4,2,6,9,8,2,7,7,8,14,5,3,0,0.07777778,1,1,0,0,0,0,0,1,27,31,36,15,22,71,80,66,78,0.138,2.7390766,0,21.9,8.1,1.8,6.9,156,-0.08,0.4950551,0,0,8.164707,10.422917,4.245634,NA,NA
"52","Sudan","SDN",1,1,10,7,1,6,1,3,1,1,19,6,8,1,0.16666667,0,1,0,0,0,0,0,1,29,40,48,5,19,18,67,10,41,0.931,2.6411395,0,0.6,0,0,62,61,-1.26,0.14207424,0,0,7.3858438,2.8175633,4.479607,0.1,3.7
"53","Tanzania","TZA",7,1,11,3,3,6,1,6,1,7,12,3,7,1,0.06666667,0,1,0,1,0,0,0,0,22,31,36,8,16,70,84,36,56,0.9215,0.6833779,0,10.7,1.8,0.6,7,96,-0.51,0.4419825,0,0,6.970331,4.761793,5.521461,NA,NA
"54","Togo","TGO",7,1,11,3,3,6,1,6,1,7,12,3,7,1,0.08888889,0,1,1,0,0,0,0,0,27,32,38,15,21,95,97,61,77,0.95,1.442202,0,4.4,0.5,0.3,4,113,-0.89,0.087116666,0,0,6.7548575,4.5162187,5.521461,NA,NA
"55","Trinidad and Tobago","TTO",5,2,6,4,4,2,2,4,4,3,22,2,4,0,0.12222222,0,1,0,0,0,0,1,0,26,35,38,11,16,83,89,61,76,0,0.37843648,1,51.7,32.6,38.1,3.8,177,-0.23,1.1478138,0,0,9.906395,8.812182,4.4426513,NA,NA
"56","Tunisia","TUN",3,3,3,4,2,3,2,4,2,2,3,4,3,1,0.37777779,0,1,1,0,0,0,0,0,24,25,48,-1,11,72,86,40,64,0,2.4598472,0,3.8,7.4,0,87.5,78,0.19,0.16705726,0,0,8.879384,5.646539,4.1431346,3.8,13.3
"57","Uganda","UGA",7,1,11,3,3,6,1,6,1,7,12,3,1,1,0.011111111,0,1,0,0,0,0,0,1,24,29,36,12,15,78,89,54,72,0.95,2.0166545,0,0.6,3.8,0,2,83,-0.43,0.3517237,0,0,6.8146324,4.2855906,5.521461,0.1,29.9
"58","United States","USA",5,2,7,5,5,4,3,5,5,4,6,4,4,0,0.42222223,0,1,0,0,0,0,0,1,27,32,37,15,21,62,70,59,68,0,-2.4378936,1,95,17.1,69.4,0,NA,1.55,0.018648872,1,1,10.65887,13.190048,2.7080503,NA,NA
"59","Uruguay","URY",5,2,6,4,4,2,2,4,4,3,2,4,4,0,0.36666667,0,1,0,0,0,0,1,0,20,26,43,-4,8,73,89,52,69,0,-2.210722,1,28.3,61.2,1.6,0,82,0.71,0.3643057,0,0,9.178105,7.918997,4.26268,31.5,44.6
"60","Venezuela","VEN",8,4,13,2,2,9,2,4,2,2,16,2,6,0,0.08888889,0,1,0,0,0,0,1,0,20,28,33,7,12,78,84,60,63,0.00704,-0.82098055,1,3.7,92.9,0.1,0,77,-1.59,0.43533206,0,0,9.202758,5.8002048,4.3579903,1.6,26.7
"61","Vietnam","VNM",3,3,8,6,6,3,2,7,7,9,18,2,3,0,0.17777778,1,1,1,0,0,0,0,0,25,33,43,6,22,74,83,67,76,0.7011,1.8155707,0,0.5,5.5,0,0.7,49,-0.45,0.012680753,0,0,7.6784525,4.928604,4.9416423,0.1,10.8
